"ServerName,""ipaddress"""
"XF-S-XHFMTM01R.xe.abb.com,""10.17.104.73"""
"XF-S-XHFMFE01R.xe.abb.com,""10.17.103.15"""
"XF-S-XHFMAP01R.xe.abb.com,""10.17.103.16"""
"XF-S-XHFMDB01R.xe.abb.com,""10.17.103.17"""
"XF-S-XHFMTM02R.xe.abb.com,""10.17.104.80"""
"XF-S-XHFMDB02R.xe.abb.com,""10.17.104.81"""
"XF-S-XHFMAP04R.xe.abb.com,""10.17.104.82"""
"XF-S-XHFMAP03R.xe.abb.com,""10.17.104.83"""
"XF-S-XHFMAP02R.xe.abb.com,""10.17.104.84"""
"XF-S-XHFMFE02R.xe.abb.com,""10.17.104.70"""
"XE-S-XHFMFE01P.xe.abb.com,""10.16.127.26"""
"XE-S-XHFMFE02P.xe.abb.com,""10.16.127.23"""
"XE-S-XHFMAP01P.xe.abb.com,""10.16.127.24"""
"XE-S-XHFMAP02P.xe.abb.com,""10.16.127.25"""
"XE-S-XHFMAP03P.xe.abb.com,""10.16.127.27"""
"XE-S-XHFMAP04P.xe.abb.com,""10.16.127.28"""
"XE-S-XHFMDB01P.xe.abb.com,""10.16.127.29"""
"XE-S-XHFMDB02P.xe.abb.com,""10.16.127.30"""
"XE-S-XHFMTM01P.xe.abb.com,""10.16.111.114"""
"XE-S-XHFMTM01S.xe.abb.com,""10.16.107.190"""
"XE-S-XHFMFE01S.xe.abb.com,""10.16.107.189"""
"XE-S-XHFMAP01S.xe.abb.com,""10.16.107.185"""
"XE-S-XHFMAP02S.xe.abb.com,""10.16.107.186"""
"XE-S-XHFMDB01S.xe.abb.com,""10.16.107.187"""
"XF-S-XHFMDB02S.xe.abb.com,""10.17.104.71"""
"XE-S-XHFMDEV01D.xe.abb.com,""10.16.121.143"""
"XF-S-XHFMAR01S.xe.abb.com,""10.17.104.72"""
"XE-S-NHFMFE01P.xe.abb.com,""10.16.111.102"""
"XE-S-NHFMFE02P.xe.abb.com,""10.16.111.103"""
"XE-S-NHFMAP01P.xe.abb.com,""10.16.127.40"""
"XE-S-NHFMAP02P.xe.abb.com,""10.16.127.41"""
"XE-S-NHFMAP03P.xe.abb.com,""10.16.127.42"""
"XE-S-NHFMDB01P.xe.abb.com,""10.16.127.43"""
"XE-S-NHFMDB02P.xe.abb.com,""10.16.127.44"""
"XE-S-NHFMTM01P.xe.abb.com,""10.16.111.115"""
"xe-s-xhfmap03s.xe.abb.com,""10.16.119.166"""
"XE-S-XHFMAP04S.xe.abb.com,""10.16.107.170"""
"XE-S-XHFMDB03S.xe.abb.com,""10.16.119.167"""
"XE-S-XHFMFE03S.xe.abb.com,""10.16.119.176"""
"XE-S-XHFMTM02S.xe.abb.com,""10.16.107.171"""
